,Factor1,Factor2,Factor3,communality,uniqueness
bkt_bf_prediction,-0.1830322785573393,0.3270520746514073,0.8088640637307207,0.7947249481226566,0.20527505187734363
BKT_forgetting_prediction,-0.1656163381624308,0.21942121785380667,0.795565387079196,0.7084987274292514,0.29150127257074854
PFA_prediction,-0.33135802498443245,0.25872293400085244,0.7773898232676694,0.7810706346197314,0.21892936538026908
ELO_prediction,-0.715263809549043,0.12921078762153118,0.016137569326287838,0.5285581660321469,0.4714418339678528
KTM_prediction,-0.9155125784818292,0.18229299700372126,0.3442041064647049,0.9898704850222122,0.010129514977786691
DKT_prediction,-0.14346325198874407,0.9136502520228585,0.20113303157742493,0.8957929840841443,0.1042070159158558
DSAKT_prediction,-0.12131343688637129,0.9357559106291566,0.17378978113656343,0.9205589622740804,0.07944103772591915
ATKT_prediction,-0.13916644531192696,0.8835605669844073,0.28128046350508457,0.8791652741802001,0.1208347258197996
