,Factor1,Factor2,Factor3,communality,uniqueness
bkt_bf_prediction,-0.7088492112903506,-0.3024999880076916,-0.6177438745757908,0.9755809416675161,0.02443044732154398
BKT_forgetting_prediction,-0.771797235926344,-0.21675505724733618,-0.42889685020890633,0.8266062363449617,0.1733893735330907
PFA_prediction,-0.6387330806452369,-0.442903587592087,-0.5258308972339386,0.8806416686983451,0.11935224072966544
ELO_prediction,-0.06772141217771932,-0.690493587747015,-0.046275058563974125,0.48350896543218846,0.516463424062723
KTM_prediction,-0.4624049129212355,-0.8359635917377903,-0.27403474106648,0.9877484695162151,0.012278832346236612
DKT_prediction,-0.9228560914065207,-0.2677604099867142,-0.20238572333019364,0.9643189836102595,0.035681080816362565
DSAKT_prediction,-0.9260612893076904,-0.23466429735369587,-0.1982674476819901,0.9519668248170563,0.0480330330376062
ATKT_prediction,-0.903237241318172,-0.25635505776680134,-0.27080203812472164,0.9548891735991849,0.045110734506899064
