"","bkt_bf_prediction","BKT_forgetting_prediction","PFA_prediction","ELO_prediction","KTM_prediction","DKT_prediction","DSAKT_prediction","ATKT_prediction"
"bkt_bf_prediction",1,0.798043572586994,0.819918530436452,0.212188205019869,0.579058853545043,0.60639422688644,0.586975056604928,0.650569397798819
"BKT_forgetting_prediction",0.798043572586994,1,0.77762076312067,0.111064117431533,0.547650595305898,0.555632867806807,0.53493294780481,0.600967767029612
"PFA_prediction",0.819918530436452,0.77762076312067,1,0.227016846662539,0.684122950759405,0.572054062747601,0.555134425384474,0.605657127741725
"ELO_prediction",0.212188205019869,0.111064117431533,0.227016846662539,1,0.638733889157488,0.194725067070072,0.179855074756802,0.1937833806817
"KTM_prediction",0.579058853545043,0.547650595305898,0.684122950759405,0.638733889157488,1,0.466689832261147,0.443555576105194,0.484195054491024
"DKT_prediction",0.60639422688644,0.555632867806807,0.572054062747601,0.194725067070072,0.466689832261147,1,0.926790675949339,0.911303718535766
"DSAKT_prediction",0.586975056604928,0.53493294780481,0.555134425384474,0.179855074756802,0.443555576105194,0.926790675949339,1,0.915724985490532
"ATKT_prediction",0.650569397798819,0.600967767029612,0.605657127741725,0.1937833806817,0.484195054491024,0.911303718535766,0.915724985490532,1
