"","bkt_bf_prediction","BKT_forgetting_prediction","PFA_prediction","ELO_prediction","KTM_prediction","DKT_prediction","DSAKT_prediction","ATKT_prediction"
"bkt_bf_prediction",1,0.869656390918781,0.915097258178068,0.297029207978439,0.757295014382427,0.8582384492069,0.844954552991511,0.883251282761665
"BKT_forgetting_prediction",0.869656390918781,1,0.808307939778408,0.164065904181323,0.663754118296192,0.861810081279989,0.848929965879867,0.877634473099899
"PFA_prediction",0.915097258178068,0.808307939778408,1,0.339128013812802,0.814239097776006,0.81787207526944,0.795656934675431,0.819692435657387
"ELO_prediction",0.297029207978439,0.164065904181323,0.339128013812802,1,0.612904752268628,0.258963947710962,0.239940447595929,0.260459875306544
"KTM_prediction",0.757295014382427,0.663754118296192,0.814239097776006,0.612904752268628,1,0.706231743556752,0.677536646029737,0.706032693962471
"DKT_prediction",0.8582384492069,0.861810081279989,0.81787207526944,0.258963947710962,0.706231743556752,1,0.958210809133652,0.956652144684748
"DSAKT_prediction",0.844954552991511,0.848929965879867,0.795656934675431,0.239940447595929,0.677536646029737,0.958210809133652,1,0.949928508535307
"ATKT_prediction",0.883251282761665,0.877634473099899,0.819692435657387,0.260459875306544,0.706032693962471,0.956652144684748,0.949928508535307,1
