"user","ML1","ML3","ML2"
0,0.853481978960609,0.934378048284943,0.490930025149443
1,-0.133738555418992,-0.228895142771948,-0.680621296110363
2,0.900068571149996,1.03079244978796,1.01613357634378
3,0.620374087524607,0.89251957651026,0.834824801742362
4,-0.131226515840148,0.131117153791799,0.367147741188656
5,0.761525074786717,0.921618102666447,0.608780471847388
6,0.728087491017466,0.845839480749298,0.506167883047185
7,-0.268954087535413,0.152988026701763,-0.202384598965377
8,0.604028760549288,0.790192613629756,0.270792470348521
9,0.492379433221004,0.616563274917688,0.422999108478644
10,0.272180126267785,0.349899363853256,0.358663713251672
11,0.436966587315553,0.686842786000502,0.487076565918841
12,0.708266396953043,0.861180523716148,0.713095770417213
13,0.243951370278828,0.0674665417021215,0.480148613004259
14,0.425528087616729,0.666852146887016,0.669012545423519
15,0.518110875084682,0.412532773118402,0.0977795812542688
16,0.47118887390418,0.31597140411133,1.17513062726792
17,0.350166036296515,0.479096634178458,0.963780604717202
18,0.771911683939071,0.726635813671273,0.232996087798002
19,0.804748930689431,0.684421687187388,0.49132875707847
20,1.06639666098217,0.723363985307541,0.348305364263191
21,1.42030416488388,1.03176685930302,0.865005913393912
22,1.56557346383607,1.15474535790321,1.02377843955224
23,1.0974354203764,0.781950797909102,0.341929657137267
24,1.195709560845,0.701693217818383,0.592675782079717
25,0.971224604438713,0.951521764676439,1.02854983507867
26,1.14259041204354,0.657351534144542,0.590163926489569
27,1.17364013133579,0.652292698532256,0.832410667443812
28,0.427251220772414,0.261416807438496,0.0867339384927778
29,0.53658316081029,0.636606217978817,0.445134505046838
30,0.389332824468149,0.434861251379374,0.396561271459915
31,1.0407460396188,0.750492276454148,0.882929940248435
32,0.647279587695074,0.755891675989698,0.427028393257114
33,0.58870532602868,0.800367913247949,0.730225400249409
34,1.07832116665632,0.867856424279527,0.411529539617868
35,1.09359611935539,0.750199631237377,0.976274528218725
36,0.443934713254662,0.515786588694099,0.113624674025293
37,0.676703790116934,0.897150653955181,0.798154859916775
38,0.451845496752848,0.774212715549699,0.705886511565468
39,0.73467004393193,0.730620897904632,0.479380149418362
40,0.285679532187491,0.227558902995343,0.25600980589098
41,0.444527704873819,0.538475293693848,0.154254618877633
42,1.31484486700513,0.775793134398188,0.440338771757086
43,1.36237991439898,0.662030643220954,0.422604204381645
44,-0.0227953213905945,0.142330766145428,0.397603599987084
45,0.728993120809666,0.873555926962331,0.500867997896611
46,0.720782200400719,0.89723029725331,0.581788069954823
47,0.253166534980007,0.776073964099071,0.264701359889007
48,0.613800062330952,1.00958808068648,0.691598473027949
49,0.762131454198797,0.880468426580069,0.589202854982232
50,0.626999525368884,0.650834825938092,0.356734516833034
51,0.472466612193279,0.609979094153879,0.152746885603962
52,0.494844599562767,0.620384691185979,0.468113355554212
53,0.863712354041594,0.74077517923095,0.570872589525298
54,0.689656997472541,0.497674370297295,-0.056218435535118
55,0.868461585151679,0.740965562912231,0.602050313440371
56,0.737313537038887,0.692180838130411,0.253238283492342
57,0.996507555593311,0.823438033757396,0.555094778463705
58,0.610994133344413,0.665147462645041,0.197723616232026
59,0.958415133131336,0.80537043687789,0.537211032351144
60,0.879041292258113,0.785567731036507,0.625442227523427
61,0.611088787206947,0.646019421496878,0.314581020693185
62,0.935124403406433,0.693098818051756,0.320002418396529
63,0.779060974211301,0.704345344141474,0.179434140756957
64,0.863202660012225,0.729425259082035,0.384450942235189
65,0.483067635248061,0.475396400576223,0.131244486771969
66,0.684534586731564,0.569469492782102,0.234728362397124
67,0.757850957279856,0.794623551751454,0.379912823422071
68,0.52315781949904,0.596846810513591,0.342771669404874
69,0.499367596389988,0.592222810442158,0.363800369887486
70,1.10401676334825,0.84938251248031,0.487944842658864
71,1.13961989792512,0.951094840411039,0.631803138741639
72,0.57644593429627,0.605780660302572,0.0662408748126714
73,0.705483713437007,0.600623035089552,0.207346358580361
74,0.873826779971046,0.660425373397747,0.0911688343889147
75,-0.0254495267935702,0.222140883202477,-0.138822113962278
76,0.429720698011821,0.599354119518243,0.184175982132069
77,0.352417598302593,0.530496798800119,0.188578374485974
78,0.683096412211649,0.752397024644078,0.587587399421304
79,0.429814602768185,0.52378955665466,0.362347163677304
80,-0.0294717973973726,0.0576592439331955,-0.61139834308883
81,-0.0514582883054195,-0.059981735007659,-0.661915961649005
82,-0.246022597257651,-0.0663938128005898,-0.525252235114064
83,0.0202872173586989,0.196837462651487,-0.324406571863533
84,0.566327933231112,0.549773970251784,0.243907559494196
85,0.608972018813495,0.560289731988597,0.236364098572593
86,0.673961246768219,0.682317144155618,0.271598700809651
87,0.512108682989946,0.558458812519445,0.258433183611851
88,0.535789496291512,0.538117755540796,0.289186978897931
89,0.153849310278828,0.108169942363582,-0.224567171718042
90,-0.0453073989058077,0.263796454244348,0.100084033293518
91,0.693690774757297,0.678089765053162,0.297527406306826
92,0.0474818653160476,0.0955748470394107,-0.349367132129613
93,0.382296555537683,0.47214211833841,0.00435701998245699
94,0.403230898725297,0.53628202724766,0.107703328524297
95,0.533670719567836,0.610195581873862,0.202062171402942
96,0.191000304675518,0.39498108098076,0.139273070211679
97,0.418079904162317,0.494193177908187,0.0759147486330706
98,0.487859635773221,0.708332739143398,0.333072255369674
99,0.569504532907467,0.510843039220155,0.387475538925412
100,0.273696906302123,0.489384911048914,0.148340763152857
101,-0.489515438045696,-0.0791702287072668,-0.139796141122875
102,0.294608522743937,0.470937673154878,0.304153697136135
103,-0.0103872768890703,0.0448460778034558,-0.299927840446406
104,0.344229404734996,0.421799358943007,-0.0138437211469515
105,-0.275124258056664,0.0276021089092567,-0.772400108567198
106,0.525834091388337,0.508613550855365,0.374909654983575
107,0.270769541303765,0.31115551776682,-0.260970655320235
108,0.263807300550032,0.465046688823936,0.190498638016975
109,0.63068599001408,0.638601287752654,0.446392117794088
110,0.350344899982026,0.461169331925522,0.22527071081598
111,-0.604645287922683,-0.677013342614945,-2.03192061323785
112,0.229682870056011,0.265666015498293,0.00202312998138833
113,-0.61138207104439,-0.523331213527384,-1.08939375756669
114,0.631842253131363,0.782759568230688,0.502357023530901
115,0.385710591157952,0.395298676271492,-0.0188999662599511
116,0.898458740685814,0.810725495138054,0.562179310275511
117,0.832907519106675,0.669853162274347,0.342668083231271
118,0.904870535836615,0.76293358365896,0.329736360505691
119,0.987716311314365,0.830362008587217,0.370603168428523
120,0.834417758972432,0.762596282090942,0.609965531405122
121,0.5750865054679,0.495852208220981,0.080591235865012
122,0.622948925923553,0.700704531855712,0.499003602122863
123,0.974087795033333,0.857505887136308,0.376732096326015
124,0.844929559712714,0.801519543683395,0.356150769971441
125,0.353011084182678,0.448326870937908,0.029870064265694
126,0.894150773303912,0.854924119543393,0.462638364581912
127,0.560226533920581,0.610070037737356,0.308669905468671
128,0.913827699482652,0.850454945287538,0.222317583766041
129,0.703677173973762,0.55311488851524,0.219575730017336
130,0.967885100613972,0.81198159488391,0.619504453374951
131,0.691646307155887,0.661825199262787,0.177486005019743
132,0.685088763568483,0.59481680515124,0.222891229360161
133,0.808025397064787,0.589507425346119,0.297624423841539
134,0.89913338164157,0.846013189582613,0.494507536973307
135,0.938927574006176,0.848026527789232,0.475523925559444
136,0.88161811544972,0.684128635541543,0.230532301290113
137,0.272917541820965,0.598179265513941,0.35217880746781
138,0.637491025442007,0.417392070444569,-0.286169051490051
139,-0.179217760157919,-0.245113594189245,0.0447994018810299
140,0.850439559897913,0.460771170736302,-0.11940726479163
141,0.21002080108573,0.162958166455892,-0.429125853000775
142,-0.355353997593311,-0.515335694434401,-0.923780868826945
143,-0.0149593652067716,0.0217338355587087,-0.0566575908570438
144,0.69024548235545,0.141888793964005,-0.485611010303125
145,-0.28840850153427,-0.413965897941411,0.238561843153786
146,-0.290005319643284,-0.536707851749048,-1.08342210877021
147,-0.00382305655985134,-0.168463947818787,0.028056609938032
148,0.0365288614093464,-0.261799518931863,-1.04887380435626
149,-0.0424783858719574,-0.283781805518719,-0.123980260686692
150,0.169933846631722,0.117549039543339,-0.214169486430226
151,-0.702550278332074,-0.613997392756415,-0.26727237702776
152,0.857514365916302,0.411140660919765,0.606899312214213
153,0.978722886529225,0.526765984618559,0.0492011781783933
154,1.30959755423227,0.677794127679422,0.348305026552396
155,1.28690379636686,0.817846118008363,0.446015866407429
156,0.804563979121158,0.369967939630033,0.329161930673004
157,0.861380890916113,0.609266465020187,0.17414837226823
158,0.848117053905857,0.423232127054032,0.175976909755761
159,0.61371112951602,0.42190998732052,0.252227440733141
160,1.14346582586162,0.66242163816995,0.787215284993866
161,0.91280993995042,0.575526479199661,0.265222654193474
162,0.835575054025398,0.59533147359145,0.55100499997843
163,0.904620933269221,0.408987627584034,0.539731369892951
164,0.948758030256003,0.60085779966635,0.288980688441735
165,0.974610866815607,0.574947565742419,0.496133153451047
