"variable","ML2","ML3","ML1"
"bkt_bf_prediction",0.083046331420575,0.859315981033598,-0.0189872874092684
"BKT_forgetting_prediction",0.0225302897542344,0.880392122605984,-0.0363582328299887
"PFA_prediction",0.00217669776031859,0.830221987117011,0.146862971319041
"ELO_prediction",0.0519596499244505,-0.224531031093298,0.777981078465409
"KTM_prediction",0.0106682537667518,0.226303871613195,0.863232643549189
"DKT_prediction",0.958953019366866,-0.00678271047909657,0.0125124086061013
"DSAKT_prediction",0.996400857254777,-0.044041296619567,-0.00474761062035277
"ATKT_prediction",0.89192630027769,0.0911883349672449,-0.00191093817396899
