"","bkt_bf_prediction","BKT_forgetting_prediction","PFA_prediction","ELO_prediction","KTM_prediction","DKT_prediction","DSAKT_prediction","ATKT_prediction"
"bkt_bf_prediction",1,0.749410410664649,0.77841879905542,0.232138652081558,0.504671253671085,0.48909539005694,0.465561269181014,0.544424647290804
"BKT_forgetting_prediction",0.749410410664649,1,0.719234026653338,0.137432588991975,0.465826524077908,0.381277883092336,0.361504571957287,0.447825358083749
"PFA_prediction",0.77841879905542,0.719234026653338,1,0.24663800700514,0.618707893674639,0.441248988464386,0.422157379556935,0.484167733560506
"ELO_prediction",0.232138652081558,0.137432588991975,0.24663800700514,1,0.684271417849965,0.225430521750054,0.20715963616964,0.218928480021394
"KTM_prediction",0.504671253671085,0.465826524077908,0.618707893674639,0.684271417849965,1,0.367011294038814,0.341409538387094,0.38528216313737
"DKT_prediction",0.48909539005694,0.381277883092336,0.441248988464386,0.225430521750054,0.367011294038814,1,0.907357134933597,0.883567712686684
"DSAKT_prediction",0.465561269181014,0.361504571957287,0.422157379556935,0.20715963616964,0.341409538387094,0.907357134933597,1,0.892703132248232
"ATKT_prediction",0.544424647290804,0.447825358083749,0.484167733560506,0.218928480021394,0.38528216313737,0.883567712686684,0.892703132248232,1
