,bkt_bf_prediction,BKT_forgetting_prediction,PFA_prediction,ELO_prediction,KTM_prediction,DKT_prediction,DSAKT_prediction,ATKT_prediction
bkt_bf_prediction,1.0,0.7483771217263686,0.7790076785206882,0.2319988024805406,0.5049516920756025,0.48969482811051857,0.4660852576791462,0.5450390013516342
BKT_forgetting_prediction,0.7483771217263686,1.0,0.7179009278862691,0.13547266018978932,0.46419187746998664,0.3820045753189774,0.3622107678729529,0.4486039790032685
PFA_prediction,0.7790076785206882,0.7179009278862691,1.0,0.24701381570015354,0.6188942526935215,0.4417050914575,0.4225402400244413,0.4846582218775643
ELO_prediction,0.2319988024805406,0.13547266018978932,0.24701381570015354,1.0,0.6841720706422998,0.225542728058721,0.2073004896064103,0.21899726201613257
KTM_prediction,0.5049516920756025,0.46419187746998664,0.6188942526935215,0.6841720706422998,1.0,0.3674170426607358,0.34179263093798556,0.3857133704930277
DKT_prediction,0.48969482811051857,0.3820045753189774,0.4417050914575,0.225542728058721,0.3674170426607358,1.0,0.907348806481937,0.8836240161051921
DSAKT_prediction,0.4660852576791462,0.3622107678729529,0.4225402400244413,0.2073004896064103,0.34179263093798556,0.907348806481937,1.0,0.8927458412807916
ATKT_prediction,0.5450390013516342,0.4486039790032685,0.4846582218775643,0.21899726201613257,0.3857133704930277,0.8836240161051921,0.8927458412807916,1.0
