n_samples,n_features,n_factors,avg_loglike,total_loglike,n_parameters,AIC,BIC,fa_converged,level,kaiser_n,scree_eigenvalues
3852,8,1,-6.256606714023775,-24100.449062419582,16,48232.898124839165,48332.999689205855,True,between,2,6.111094|1.107038|0.318897|0.175246|0.138573|0.069066|0.044878|0.037285
3852,8,2,-5.725315376579695,-22053.914830584985,23,44153.82966116997,44297.725659947086,True,between,2,6.111094|1.107038|0.318897|0.175246|0.138573|0.069066|0.044878|0.037285
3852,8,3,-5.3974607547361595,-20791.018827243686,29,41640.03765448737,41821.471739901994,True,between,2,6.111094|1.107038|0.318897|0.175246|0.138573|0.069066|0.044878|0.037285
3852,8,4,-5.349826137759582,-20607.53028264991,34,41283.06056529982,41495.776389579034,True,between,2,6.111094|1.107038|0.318897|0.175246|0.138573|0.069066|0.044878|0.037285
331381,8,1,-9.097970752847768,-3014894.6460494464,16,6029821.292098893,6029992.668483689,True,within,3,4.499498|1.446423|1.144074|0.290771|0.254436|0.161476|0.113677|0.089670
331381,8,2,-8.222430776474058,-2724757.3331387495,23,5449560.666277499,5449807.019830644,True,within,3,4.499498|1.446423|1.144074|0.290771|0.254436|0.161476|0.113677|0.089670
331381,8,3,-7.874346801145531,-2609408.9173104074,29,5218875.834620815,5219186.454318259,False,within,3,4.499498|1.446423|1.144074|0.290771|0.254436|0.161476|0.113677|0.089670
331381,8,4,-7.851868673181691,-2601960.092787622,34,5203988.185575244,5204352.360392937,False,within,3,4.499498|1.446423|1.144074|0.290771|0.254436|0.161476|0.113677|0.089670
