,Factor1,Factor2,communality,uniqueness
bkt_bf_prediction,-0.7199002556345819,-0.6255739351759747,0.909599126434291,0.09035712256558692
BKT_forgetting_prediction,-0.7748189869635829,-0.4525398056029359,0.8051367382144158,0.19484504140669057
PFA_prediction,-0.6257716326363653,-0.7323632446328726,0.9279460583015708,0.07219447876182183
ELO_prediction,-0.12389658803337622,-0.3932974122033496,0.1700332189721636,0.829892990010194
KTM_prediction,-0.5206951375313391,-0.6523003285270214,0.6966191448452401,0.30336430222624144
DKT_prediction,-0.9231031740306,-0.32679997334428623,0.9589176924831945,0.04108018002083025
DSAKT_prediction,-0.9301644193131144,-0.2944757169578696,0.9519217948339547,0.04807183369797485
ATKT_prediction,-0.9112502278904605,-0.35456788774014075,0.9560953648469213,0.04390742024133576
