,Factor1,Factor2,communality,uniqueness
bkt_bf_prediction,0.33529395086121916,0.8152734468067303,0.7770928265522521,0.22290966006911828
BKT_forgetting_prediction,0.23029341450665966,0.7868601628128447,0.6721839725869926,0.3278176456662255
PFA_prediction,0.27505059109956675,0.846125328953598,0.7915808999610556,0.2084153740978737
ELO_prediction,0.17304061401399276,0.2585489028871755,0.09679058928250174,0.9032091615976479
KTM_prediction,0.24916454346683028,0.5876988165338557,0.40747286867632854,0.5925258354742083
DKT_prediction,0.920050706919053,0.22172602623351367,0.895655734011554,0.10433604437954247
DSAKT_prediction,0.9410769174698547,0.18740489466728755,0.9207463591398208,0.07926610118455835
ATKT_prediction,0.8897124552930493,0.29429530152743244,0.8781979776047086,0.1217987446718578
