,Factor1,communality,uniqueness
bkt_bf_prediction,-0.9058036849331494,0.8204803156384722,0.17947086382420174
BKT_forgetting_prediction,-0.8916949074288611,0.7951198079345653,0.20484749216801867
PFA_prediction,-0.8583418607175594,0.736750749860082,0.2632028437383567
ELO_prediction,-0.27344740455831185,0.07477348305967707,0.9252184453438186
KTM_prediction,-0.7367349188499277,0.5427783406528095,0.4571883918911257
DKT_prediction,-0.9752015728476675,0.9510181076845645,0.04901610098138309
DSAKT_prediction,-0.9673035112293396,0.9356760828366091,0.06435198414020582
ATKT_prediction,-0.9792312763163722,0.9588938925161913,0.041110295590401025
