,bkt_bf_prediction,BKT_forgetting_prediction,PFA_prediction,ELO_prediction,KTM_prediction,DKT_prediction,DSAKT_prediction,ATKT_prediction
bkt_bf_prediction,1.0,0.8841885382689026,0.9153495862756678,0.27685911714575645,0.77765174834459,0.8740142216303093,0.8630995749484659,0.8964187282832237
BKT_forgetting_prediction,0.8841885382689026,1.0,0.8293190940730333,0.1428431959555273,0.7050097786958567,0.8757612109527495,0.8621242541212359,0.8863730411905569
PFA_prediction,0.9153495862756678,0.8293190940730333,1.0,0.3328541381364058,0.8473120642621429,0.8355884437054263,0.8175025674959725,0.8408326068204546
ELO_prediction,0.27685911714575645,0.1428431959555273,0.3328541381364058,1.0,0.5505890774504736,0.22594352949971352,0.2114938240183787,0.23888145975612043
KTM_prediction,0.77765174834459,0.7050097786958567,0.8473120642621429,0.5505890774504736,1.0,0.7392493338810125,0.7108759308425897,0.7418493831772272
DKT_prediction,0.8740142216303093,0.8757612109527495,0.8355884437054263,0.22594352949971352,0.7392493338810125,1.0,0.9641088926265051,0.9645412961279233
DSAKT_prediction,0.8630995749484659,0.8621242541212359,0.8175025674959725,0.2114938240183787,0.7108759308425897,0.9641088926265051,1.0,0.9568146849673331
ATKT_prediction,0.8964187282832237,0.8863730411905569,0.8408326068204546,0.23888145975612043,0.7418493831772272,0.9645412961279233,0.9568146849673331,1.0
