,Factor1,communality,uniqueness
bkt_bf_prediction,-0.5622985381028351,0.3161796459525855,0.6838135532362504
BKT_forgetting_prediction,-0.457399215898982,0.20921404270500357,0.79077987087369
PFA_prediction,-0.5142227998980088,0.26442508793494757,0.7355693842238253
ELO_prediction,-0.24966120446601114,0.06233071701541942,0.9376687362974085
KTM_prediction,-0.4202279504156986,0.17659153031057884,0.8234054128125725
DKT_prediction,-0.9428053793562781,0.8888819833431354,0.11112746806419938
DSAKT_prediction,-0.9440256832038951,0.891184490548581,0.10882298843645366
ATKT_prediction,-0.9422095140836572,0.8877587684297613,0.11223019526106082
