,ICC
bkt_bf_prediction,0.3777023130197
BKT_forgetting_prediction,0.44489594445183617
PFA_prediction,0.34882756614574
ELO_prediction,0.14217485646764685
KTM_prediction,0.21254002260681926
DKT_prediction,0.33782231996697226
DSAKT_prediction,0.3689467216472339
ATKT_prediction,0.36854541380302813
